course_id,course_title,is_paid,price,num_subscribers,level,year,month
1198166,Top 10 Trading Ideas in the Equities Market,True,20,661,All Levels,2017,5
920604,Intro to Financial Modeling,True,105,1077,Beginner Level,2016,8
215728,Shark Accounting - Building a Business by the Numbers!,True,20,6050,Beginner Level,2014,5
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,True,150,3523,All Levels,2016,1
48841,Accounting in 60 Minutes - A Brief Introduction,False,0,56659,Beginner Level,2013,4
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,True,100,1444,Beginner Level,2016,7
317030,Learn how to double your Forex Trading Account in one trade,True,60,2900,Intermediate Level,2014,10
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",True,200,1437,Beginner Level,2016,8
1070886,Python Algo Trading: FX Trading with Oanda,True,200,453,Intermediate Level,2017,3
812616,Save on Your Taxes,True,20,2437,All Levels,2016,11
407984,Financial Model Basics: Build a model from start to finish,True,30,5057,Beginner Level,2015,2
214046,Option Trading for Rookies: The Covered Call Option Strategy,True,95,6092,Beginner Level,2016,11
512400,EFT for Stock Options Trading Success & Making Better Trades,True,95,4530,All Levels,2015,8
377370,Learn to Trade the Stock Market without Blowing Your Profits,True,60,6967,All Levels,2017,5
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,True,20,727,Beginner Level,2017,4
945750,Fundamentals of Accounting,True,20,1560,All Levels,2016,8
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",True,200,1047,All Levels,2017,1
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,True,125,1045,Intermediate Level,2017,4
402836,Accounting 101: How to read an Accounting Balance Sheet,True,200,3050,Beginner Level,2015,1
588764,Stock Options Day Trading Mindset for Success,True,200,2988,All Levels,2015,9
576946,Introduction to bookkeeping and Accounting,True,35,2623,Beginner Level,2015,8
543242,Learn to Trade The News,True,200,1924,All Levels,2015,7
502240,"Value Investing, Taught by Six Superinvestors",True,200,3804,All Levels,2015,6
598266,Trading for everyone - The Independent Investor Course I,True,120,4133,Beginner Level,2015,10
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,True,195,1420,All Levels,2016,4
1076920,Stock Market investment: Practical Accounting,True,125,1120,Beginner Level,2017,1
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",True,200,668,All Levels,2017,2
441112,Accounting Basics in 66 Minutes (absolutely for beginners),True,25,4086,All Levels,2015,3
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",True,200,1033,All Levels,2017,1
1028030,Analysis of Company Financial Statements,True,20,832,All Levels,2016,12
1018380,Forex Trading Like Banks – Step by Step with Live Examples,True,195,677,All Levels,2016,12
575676,Fundamentals of Investing!,True,20,3125,Beginner Level,2015,8
1105216,Bank Financial Management A Comprehensive Study,True,50,1081,All Levels,2017,2
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,True,200,1645,All Levels,2016,9
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",True,120,3348,All Levels,2013,2
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,True,200,939,All Levels,2017,2
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,True,200,2115,All Levels,2015,11
625568,Charting for Beginners 101: Technical Analysis Demystified,True,45,2230,All Levels,2015,10
297742,Build a DCF Valuation Model,True,50,2053,All Levels,2014,10
24877,Introductory Financial Accounting,True,80,1793,Beginner Level,2012,10
1188742,Introduction to Cryptocurrencies and Blockchain,False,0,3775,Beginner Level,2017,5
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,True,200,521,All Levels,2016,2
415802,Accounting Standards Basics (Professional Course Level),True,20,2222,All Levels,2015,2
323950,Use the Magic Multiple Moving Average Forex Trading system,True,50,1097,Intermediate Level,2014,11
488818,QuickBooks 2015 Training for Newbies,True,200,2506,Beginner Level,2015,5
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,True,120,975,Intermediate Level,2015,9
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,True,145,1398,All Levels,2015,10
599684,Profitable binary option trading strategy,True,195,1096,All Levels,2015,10
332848,Tax Strategy: Financial Planning for Beginners,True,200,1703,All Levels,2014,11
354324,Accounting 2 Simplified for You,True,45,1446,Beginner Level,2014,12
379682,Project Funding Modelling (for Professionals),True,20,2736,All Levels,2014,12
319020,Investing: How I Consistently Beat The Stock Market,True,200,2000,All Levels,2014,12
713258,Bookkeeping Basics:  Understand the Fundamentals,True,75,853,Beginner Level,2016,11
537884,Leasing - A Comprehensive Study (Professional Course Level),True,20,3094,All Levels,2015,7
919906,Trading Options For Consistent Returns: Options Basics,False,0,4077,Beginner Level,2016,8
46010,TechniTrader Leading Hybrid Indicator Trading,True,20,4117,Intermediate Level,2013,4
777932,Financial modeling: Build a DCF equity valuation model,True,20,1369,All Levels,2016,3
773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),True,150,1224,All Levels,2016,3
221306,Accounting Is Easy (for Beginners),True,20,3870,All Levels,2014,5
830994,Non Directional Weekly Options Trading System - ETF & Emini,True,200,897,All Levels,2016,5
723510,The Complete Position Trading Course: Position Trading Stock,True,45,1311,All Levels,2016,1
42643,Master Iron Condors - Double the credit for half the risk,True,60,1338,Expert Level,2013,3
411778,Basics of investing in Mutual Funds,True,20,1589,Intermediate Level,2015,3
366514,A Value Investing Approach to the Stock Market,True,20,1189,All Levels,2015,2
471588,Learn how to INVEST for huge profits or make it big trading!,True,50,701,All Levels,2015,6
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",True,50,1105,Intermediate Level,2015,2
607876,Mastering Candlestick Charting : High Probability Trading,True,50,123,All Levels,2015,9
249950,Binary Options Course - Level 2,False,0,5874,Intermediate Level,2014,6
792216,Stock Technical Analysis with R,True,50,354,All Levels,2016,3
45139,"Get to know the VIX Index (aka 'The Fear Index)""",True,60,727,All Levels,2013,3
692176,Apply finance concepts for smart project management,False,0,3465,Beginner Level,2016,2
1224262,Introduction to Futures Trading and Live Trade Demonstration,True,60,54,Expert Level,2017,5
598094,Crowdfunding to Win,True,40,627,All Levels,2015,9
40039,Comprehensive Forex Mastery Program,True,45,650,All Levels,2013,2
1266148,Preparation of Consolidated Financial Statements (Basic),False,0,965,Intermediate Level,2017,6
791422,Succeed in Bonds Even if You Don't Know Where to Start,True,200,1113,All Levels,2017,2
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,True,95,739,All Levels,2014,12
791436,Succeed in Lotto Even if You Don't Know Where to Start!,True,20,1201,All Levels,2017,5
537878,CFA Corporate Finance Level 2,True,50,2474,All Levels,2015,7
923184,Pin Bars: The Most Powerful Forex Trading Signal,True,200,494,All Levels,2016,8
476256,Stock Options Trades Using Interactive Brokers,True,95,1580,Intermediate Level,2015,9
552504,Introduction to Options - Strategies For Consistent Profits,True,40,617,All Levels,2015,8
537888,Risk in Forex Transactions - for CA / CS / CFA exams,True,20,2235,All Levels,2015,9
385686,Basics of Business Statistics (College Level),True,20,2293,All Levels,2015,1
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",True,200,1094,Beginner Level,2016,3
57415,Interpreting Financial Statements,True,20,1449,Beginner Level,2013,6
155344,Introduction to Bookkeeping (Accounting),True,20,3251,Beginner Level,2014,1
42491,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,True,60,607,Intermediate Level,2013,3
511952,Investment Banking: How to Land a Job on Wall Street,True,75,1218,All Levels,2015,6
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,True,20,1132,All Levels,2015,7
862786,Financial modeling: Build a multiples valuation model,True,20,656,All Levels,2016,5
165122,Trade Recap I - A Real Look at Futures Options Markets,True,20,3339,Beginner Level,2014,2
530768,Advanced Stock Options for Serious Equity Investors!,True,200,1271,Expert Level,2015,9
218416,Trading Binary Options for Fun and Profit,True,20,1574,All Levels,2015,2
619296,CFA: Fast Track your career in Finance,True,20,1393,Beginner Level,2015,9
717278,How to be a Profitable Forex Trader,True,20,1029,All Levels,2016,5
445916,Excel Dashboard - Interactive Excel Dashboard and Charts,True,30,843,All Levels,2015,3
267984,Accounting 101: Learn Business Finance Forecasting in 60mins,True,95,1730,All Levels,2014,7
180362,The Securities Trade Lifecycle,True,50,1182,All Levels,2014,3
364810,Double your Forex Account using the MAGIC MA trading robot,True,65,1160,Intermediate Level,2014,12
692722,Technical Analysis 101: How to Profit During Market Crashes,True,95,1730,All Levels,2016,1
298558,Advanced Accounting for Investment Banking,True,50,1260,Intermediate Level,2014,10
480752,Investing In Stocks With 10 Simple Rules,True,95,871,All Levels,2015,6
637922,Venture Capital. What is it and Why it Matters to You!,True,50,1566,All Levels,2015,10
337320,Cash Flow Valuation: Develop Your Financial Literacy,True,105,2987,All Levels,2014,12
876646,Direction-Independ Trading - Elite Forex Traders  Strategy,True,120,973,All Levels,2016,6
529424,How to Become a Financial Analyst from Scratch!,True,40,2177,Beginner Level,2015,7
720814,First Steps to Trading the Forexmarkets : Technical Analysis,True,35,1772,Beginner Level,2016,1
515326,Financial analysis: Compare performance of companies,True,20,1850,All Levels,2015,6
1218552,Forex for Beginners: Easy Forex Trading for Beginners,False,0,1780,Beginner Level,2017,5
851106,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),False,0,4607,Beginner Level,2016,5
429308,Read financial statements like a pro,True,50,12,Intermediate Level,2015,3
302450,10 Numbers Every Business Owner Should Know,True,20,13,All Levels,2015,3
1117834,Learn How To Trade Gold In 2017,True,200,2,All Levels,2017,4
190816,IAS 18 - Revenue,False,0,2571,All Levels,2014,3
244000,Forex Trading: The High ROI Forex Trading End of Day Course,True,125,8,Intermediate Level,2014,6
429482,Fundraise the Simplified Way: A Crowdfunding Blueprint,True,35,7,All Levels,2015,2
831940,Fundamentals of Accounting for Business Owners,True,20,217,Beginner Level,2017,2
833770,Practical Financial Statement Analysis,True,75,22,All Levels,2017,5
658764,Forex Management - Detailed Study for CA / CS / CFA Exams,True,50,131,All Levels,2015,11
707224,Financial Statement Review 101:  How to Find Errors,True,30,5,Beginner Level,2017,2
64739,Professional Risk Manager (PRM) Certification: Level 1,True,50,116,All Levels,2013,7
907716,International Tax  - Tax Beyond boundaries,True,100,27,All Levels,2016,9
1030976,The Complete Financial Statement Analysis Course,True,150,912,Beginner Level,2017,1
722682,Advanced Excel functions,True,20,1964,All Levels,2016,1
1122146,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),True,200,1033,Beginner Level,2017,2
808506,Candlestick Analysis For Professional Traders,True,95,913,Expert Level,2016,5
673016,Build A Career In Forex Trading- Learn Fundamental Analysis,True,200,2092,All Levels,2015,11
358062,Financial Modeling: Build a Complete DCF Valuation Model,True,95,2240,All Levels,2014,12
372234,Hands-on Financial Modeling (With 6 Excel Templates),True,30,4601,Intermediate Level,2015,4
822514,CAIIB Advanced Bank Management (Part I),True,25,2953,All Levels,2016,4
1045726,Stock Market investment:Non financial fundamental analysis,True,125,1091,Beginner Level,2016,12
943426,Learn How to Play CashFlow Game,True,35,1459,Beginner Level,2016,10
46927,Basics of Business Finance,True,30,4855,Beginner Level,2013,3
567070,Accounting Made Easy 2,True,50,4034,Intermediate Level,2015,9
867440,"Bitcoin: el futuro del dinero, hoy",True,200,57,Intermediate Level,2016,6
501996,Aprende a invertir practicando,True,35,26,All Levels,2015,5
1103590,Trading con retrocesos de Fibonacci,True,25,14,All Levels,2017,2
1172370,Mit Finanzwissen zu besserem Unternehmertum,True,50,49,Beginner Level,2017,5
673702,Como hacer empresa en 10 sesiones prácticas,True,20,11,Intermediate Level,2015,11
821108,المحاسبة للإداريين و غير المحاسبين,True,20,9,Beginner Level,2016,4
863998,株式投資で本当のファンダメンタル分析ができるようになる,True,20,91,All Levels,2016,6
822926,Curso de Trading práctico basado en casos reales,True,20,44,All Levels,2016,8
666254,Curso Avanzado de Trading,True,125,106,All Levels,2015,11
421546,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,False,0,2079,All Levels,2015,2
518886,MQL4 Tutorial Golden Goose,True,20,135,Beginner Level,2015,6
868128,Análise de Concessão de Crédito,True,20,31,All Levels,2016,6
986034,Technical Analysis Using Elliott Wave Theory,True,60,217,All Levels,2016,11
42642,The Basics Of Volume Analysis,True,60,611,All Levels,2013,2
471428,Crash Course on Cost of Capital and Capital Structuring,False,0,5007,All Levels,2015,4
600206,Business Accounting Made Easy,True,50,1168,Beginner Level,2015,9
283780,Build a DCF Model from Scratch,False,0,4653,All Levels,2014,9
52118,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",False,0,3035,All Levels,2016,6
42640,Technical Analysis - A practical approach for trade entry,True,60,454,Expert Level,2013,2
767256,Mastering Technical Analysis : Maximizing Trading Profits,True,60,325,All Levels,2016,3
843854,The Complete Guide to Professional Trading with Elliott Wave,True,115,228,All Levels,2016,5
247558,A Complete Guide to Becoming a Trader on the Forex Market,True,25,562,All Levels,2014,6
696616,Stock Market for Beginners - Complete Starter Toolkit,True,120,577,Intermediate Level,2016,3
205810,Beginners Binary Options Course,False,0,10540,Beginner Level,2014,4
507486,Technical Analysis 101: Secrets of Trading Revealed,True,150,912,All Levels,2015,7
965306,Forex: What's a Trend and When it is Strong and Reliable,False,0,2955,Intermediate Level,2016,10
1128662,Volatility Trading Analysis with R,True,50,190,Expert Level,2017,3
1068986,How To Profit From Stock Market Volatility,False,0,1736,All Levels,2017,1
627706,Awaken the Accountant in You | Master the Accounting Basics,True,35,1135,Beginner Level,2015,11
255280,WE WILL PAY YOU TO TRADE WITH US,True,20,2101,All Levels,2014,8
628944,Situational Trading: Proven Option Strategy for any Scenario,True,200,1048,All Levels,2015,11
537886,Portfolio Management for CA / CS / CFA exams,True,20,1740,All Levels,2015,7
517938,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),True,20,1749,All Levels,2015,6
779678,Finding an Unlimited Amount of Investors,True,80,1187,All Levels,2016,3
494330,Bookkeeping Made Easy,True,70,1263,Beginner Level,2015,7
153926,BITCOIN VISUALLY. Part I.,True,50,115,Beginner Level,2014,3
806122,Learn and Master the Basics of Finance,True,20,43,Beginner Level,2016,9
725658,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,True,75,55,All Levels,2016,1
1032234,Mastering the Market : (Technical Analysis + Candlestick),True,90,18,All Levels,2016,12
996542,Mastering Countertrend Trading : High Profit Trading Pattern,True,40,14,All Levels,2016,10
756520,Exam 1 Review - Managerial Accounting (U of H),True,30,47,Beginner Level,2016,2
768028,* An Integrated Approach to the Fundamentals of Accounting,True,200,134,All Levels,2016,3
73030,Get to grips with the CFA calculator,True,20,153,All Levels,2013,8
476880,Financial Model Fundamentals-Learn the Essential Skills,True,75,47,All Levels,2015,6
773060,Forex: Economic News Trading,True,25,42,All Levels,2016,2
552058,Analyze Real Estate Investments | Financial Modeling,True,20,120,All Levels,2015,7
509512,Forex For Beginners - A Guide To Currency Trading,True,20,68,Beginner Level,2015,5
497236,Raise Your Credit Score to 800 Or More....,True,50,844,All Levels,2015,7
